Station,Stlat,Stlon,Wt_R,Ranef_PGA,Ranef_PGV
AMGES,18.465,41.536,0.00203252032520325,-0.261206948027334,0.0222669917186928
BAHS,19.97,41.599,0.003125,0.351663263767571,-0.00710661303651892
BAHS,19.97,41.599,0.00203252032520325,0.351663263767571,-0.00710661303651892
BDAS,28.435,35.09,0.0416666666666667,0.255943867656201,0.187863160762538
BDAS,28.435,35.09,0.0277777777777778,0.255943867656201,0.187863160762538
BESHS,17.365,42.84,0.00203252032520325,-0.0765458631023453,-0.0842139741741803
BESHS,17.365,42.84,0.00478468899521531,-0.0765458631023453,-0.0842139741741803
BESHS,17.365,42.84,0.003125,-0.0765458631023453,-0.0842139741741803
BIDS,26.867,36.958,0.0277777777777778,0.498908289458436,0.0722755363811048
BIDS,26.867,36.958,0.00203252032520325,0.498908289458436,0.0722755363811048
DBAS,27.21,35.97,0.0416666666666667,0.293067790424795,0.13202086550469
DBAS,27.21,35.97,0.00203252032520325,0.293067790424795,0.13202086550469
DBAS,27.21,35.97,0.166666666666667,0.293067790424795,0.13202086550469
DJNS,17.701,43.545,0.166666666666667,-0.232156376045813,0.020624827342222
DJNS,17.701,43.545,0.00478468899521531,-0.232156376045813,0.020624827342222
DJNS,17.701,43.545,0.003125,-0.232156376045813,0.020624827342222
DJNS,17.701,43.545,0.00203252032520325,-0.232156376045813,0.020624827342222
DRBS,17.828,42.301,0.00478468899521531,-0.163517175352901,-0.386310649736792
DRBS,17.828,42.301,0.003125,-0.163517175352901,-0.386310649736792
DRBS,17.828,42.301,0.00203252032520325,-0.163517175352901,-0.386310649736792
DRBS,17.828,42.301,0.00101936799184506,-0.163517175352901,-0.386310649736792
ENMS,19.071,42.572,0.003125,0.583904959681332,0.475628344055816
ENMS,19.071,42.572,0.00478468899521531,0.583904959681332,0.475628344055816
ENMS,19.071,42.572,0.00203252032520325,0.583904959681332,0.475628344055816
ENMS,19.071,42.572,0.00101936799184506,0.583904959681332,0.475628344055816
EWJHS,26.157,36.655,0.00203252032520325,-0.122330089761965,-0.561003391935355
EWJHS,26.157,36.655,0.003125,-0.122330089761965,-0.561003391935355
FRAS,21.058,40.518,0.003125,-0.272659831914017,-0.0950313735053029
FRAS,21.058,40.518,0.00203252032520325,-0.272659831914017,-0.0950313735053029
FRAS,21.058,40.518,0.00101936799184506,-0.272659831914017,-0.0950313735053029
FRJS,22.591,39.364,0.00203252032520325,-0.079775214316803,-0.356348579713637
FRJS,22.591,39.364,0.003125,-0.079775214316803,-0.356348579713637
FRSS,16.739,42.115,0.00478468899521531,-0.507248035310551,-0.270495598056558
FRSS,16.739,42.115,0.003125,-0.507248035310551,-0.270495598056558
FRSS,16.739,42.115,0.00101936799184506,-0.507248035310551,-0.270495598056558
HAQS,29.056,34.929,0.00203252032520325,-0.448084923550601,-0.201544388043597
HAQS,29.056,34.929,0.003125,-0.448084923550601,-0.201544388043597
HQLS,29.3,35.062,0.00478468899521531,0.152662557902409,0.428084620951293
HQLS,29.3,35.062,0.003125,0.152662557902409,0.428084620951293
HQLS,29.3,35.062,0.00203252032520325,0.152662557902409,0.428084620951293
JAZS,17.068,42.917,0.00478468899521531,0.261949289255948,0.11494573367369
JAZS,17.068,42.917,0.003125,0.261949289255948,0.11494573367369
JAZS,17.068,42.917,0.00101936799184506,0.261949289255948,0.11494573367369
JAZS2,16.759,43.049,0.00101936799184506,0.843277832913363,0.631154905821402
JLOS,28.735,35.492,0.00101936799184506,0.0640860762856195,-0.193510950379856
JLOS,28.735,35.492,0.003125,0.0640860762856195,-0.193510950379856
JLOS,28.735,35.492,0.00478468899521531,0.0640860762856195,-0.193510950379856
JOFS,29.415,38.608,0.00101936799184506,0.32786458898379,0.581042208855414
KBR01,25.458,39.781,0.00101936799184506,-0.61496427568753,-0.166187440555152
KBR01,25.458,39.781,0.003125,-0.61496427568753,-0.166187440555152
KBR02,25.229,40.242,0.00101936799184506,-0.0832422325925168,0.330333137035678
KBR02,25.229,40.242,0.003125,-0.0832422325925168,0.330333137035678
KBR02,25.229,40.242,0.00203252032520325,-0.0832422325925168,0.330333137035678
KBR03,25.823,39.951,0.003125,0.193113149470468,0.662279729030309
KBR03,25.823,39.951,0.00101936799184506,0.193113149470468,0.662279729030309
KBR04,25.981,40.279,0.003125,-0.222213263843995,-0.0599244919138289
KBR04,25.981,40.279,0.00115074798619102,-0.222213263843995,-0.0599244919138289
KBR04,25.981,40.279,0.00101936799184506,-0.222213263843995,-0.0599244919138289
KBR05,25.573,40.308,0.00115074798619102,-0.148431657748463,0.155123692348928
KBR05,25.573,40.308,0.00101936799184506,-0.148431657748463,0.155123692348928
KBR08,25.72,39.477,0.00115074798619102,-0.489469554300991,-0.227252637472324
KBR08,25.72,39.477,0.00101936799184506,-0.489469554300991,-0.227252637472324
KBR09,26.034,39.665,0.00101936799184506,-0.24426800011257,0.00756157375066405
