EventID,Evlat,Evlon,Depth,Mag,Wt_M,Ranef_PGA,Ranef_PGV
2008-04-12T01:27:00,27.913,37.055,27.48,4.21,0.00373134328358209,-0.327645212208343,-0.173078943461123
2008-05-01T15:10:00,27.835,36.797,4.15,3.25,0.000522739153162572,-0.212111210281692,-0.208954172983564
2008-11-02T06:19:00,27.861,36.923,8.88,3.09,0.000522739153162572,-0.0759790625241239,0.065032710048695
2008-11-16T09:56:00,27.837,36.912,10.79,3.56,0.0016366612111293,-0.326983657006831,-0.257843926697212
2008-11-18T09:10:00,27.857,36.887,12.89,4.04,0.00373134328358209,-0.621718219335628,-0.964294328686104
2008-11-20T09:21:00,27.86,36.906,12.27,3.06,0.000522739153162572,-0.283737002579134,0.148084758504753
2008-12-20T02:21:00,15.942,43.188,8.34,3.65,0.0016366612111293,-0.918200903165851,-0.94734056521095
2009-01-05T07:24:00,27.854,36.903,11.25,3.2,0.000522739153162572,-0.163187676593431,-0.0263622172650773
2009-01-26T12:06:00,27.805,36.928,9.87,3.55,0.0016366612111293,-0.623811334569725,-0.571777179540846
2009-01-26T12:14:00,27.842,36.909,10.51,3.54,0.0016366612111293,-0.834262398658571,-0.928279255921178
2009-05-13T00:40:00,25.131,37.729,4.99,3.33,0.000522739153162572,-0.247456506942643,-0.487059392179077
2009-05-13T01:46:00,25.14,37.723,5.05,3.12,0.000522739153162572,1.0983914697221,1.05729831966626
2009-05-13T02:16:00,25.194,37.756,8.8,3.14,0.000522739153162572,0.183725012809699,0.104470338696815
2009-05-13T17:37:00,25.206,37.762,8.23,3.09,0.000522739153162572,0.633866185292074,0.504359046252263
2009-05-13T18:04:00,25.223,37.782,9.83,3.2,0.000522739153162572,0.152879199295775,0.0812957638133349
2009-05-13T19:14:00,25.232,37.786,8.43,3.67,0.0016366612111293,0.564400864858716,0.352303459614178
2009-05-13T19:50:00,25.217,37.771,11.15,3.02,0.000522739153162572,0.445123682609771,0.375729780744668
2009-05-13T23:03:00,25.215,37.776,8.91,4.25,0.00373134328358209,0.169717973766316,0.0495149017177812
2009-05-14T02:28:00,25.203,37.775,7.72,3.09,0.000522739153162572,0.286024333359332,0.160231525995467
2009-05-14T03:10:00,25.215,37.771,7.8,3,0.000522739153162572,0.595332656567443,0.622392781642621
2009-05-14T04:37:00,25.221,37.772,8.6,3.71,0.0016366612111293,-0.0728321584356053,-0.245839002795702
2009-05-14T05:31:00,25.223,37.771,9.41,3.12,0.000522739153162572,-0.111174208865518,-0.237425246543538
2009-05-14T06:39:00,25.221,37.772,9.04,3,0.000522739153162572,-0.461793402758682,-0.544995623197296
2009-05-14T07:54:00,25.214,37.774,8.58,3.08,0.000522739153162572,0.425452630451793,0.454455805796014
2009-05-14T07:59:00,25.223,37.774,8.33,3.5,0.0016366612111293,-0.358751203239412,-0.177056416628138
2009-05-14T08:28:00,25.224,37.771,8.89,3.42,0.000522739153162572,0.954331077130967,1.15055014656846
2009-05-14T10:55:00,25.22,37.772,9.24,3.03,0.000522739153162572,0.561699917022356,0.494657777187581
2009-05-14T11:43:00,25.23,37.776,9.76,3.13,0.000522739153162572,0.338419043503226,0.24965835774696
2009-05-14T12:44:00,25.205,37.778,10.34,3.53,0.0016366612111293,0.25800215278358,0.0260157935185587
2009-05-14T16:32:00,25.227,37.758,9.26,3.23,0.000522739153162572,-0.380906723580037,-0.418034666002748
2009-05-14T17:14:00,25.223,37.77,9.11,3.54,0.0016366612111293,-0.562607760917603,-0.798585663560473
2009-05-14T20:01:00,25.211,37.773,9.49,3.11,0.000522739153162572,0.303624234931917,0.196523217570923
2009-05-14T21:17:00,25.22,37.771,9.23,3.24,0.000522739153162572,-0.311720631717572,-0.393550089394545
2009-05-14T21:41:00,25.22,37.772,9.97,3.14,0.000522739153162572,0.329503631665743,0.233019314622366
2009-05-14T23:23:00,25.221,37.768,10.58,3.54,0.0016366612111293,0.467953410069825,0.283348947610423
2009-05-15T02:50:00,25.221,37.772,9.48,3.27,0.000522739153162572,0.486664356375596,0.361342328045688
2009-05-15T03:56:00,25.219,37.767,7.99,3.12,0.000522739153162572,0.901233055004723,0.864973504968
2009-05-15T05:40:00,25.223,37.748,7.39,3.1,0.000522739153162572,0.811330631210048,0.784390727909
2009-05-15T07:36:00,25.22,37.761,10.26,3.04,0.000522739153162572,0.609652428984645,0.647922023284531
2009-05-15T08:11:00,25.225,37.772,9.47,3.16,0.000522739153162572,-0.404285019230776,-0.513700304950983
2009-05-15T09:29:00,25.244,37.802,9.65,3.24,0.000522739153162572,0.617646475896138,0.546240547506958
2009-05-15T10:08:00,25.19,37.728,14.02,3.08,0.000522739153162572,0.990259517621071,1.14120523180417
2009-05-15T10:25:00,25.237,37.778,10.92,3.59,0.0016366612111293,1.25836477385547,1.2746310234601
2009-05-15T11:16:00,25.22,37.752,7.55,3.14,0.000522739153162572,0.163955439943185,0.183404457543357
